FieldName,DeclaredIn,Category,ReadsBy,WritesBy,Thread,Lifetime,CandidateOwner,Notes
"_notes","desktop-pet/PetForm.cs:71","E Sticky repository","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:28 CreateStickyNote; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:47 CreateTodoStickyNote; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:66 CreateScheduleStickyNote; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:96 ExpandAndTileAllStickyNotesToPetScreen; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:270 RollBackFailedStickyCreation; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:292 PrepareStickyNoteDraft; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:462 HandleStickyTopologyChanged; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:499 ResumeDockDragAfterTopologyChange; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:553 ReconcileDockGroups; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:686 PostDockGroupTopologyReproject; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:781 TryApplyDockTopologyResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:954 CompleteTemporaryRehome; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1365 ApplyHostedStickyEvent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1433 ApplyReprojectResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1478 ScheduleLatestStandaloneReconcile; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1531 AdoptPreferredIfEmpty; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1564 CompleteDockDurableCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1610 TryPrepareDockCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1740 ApplyHostedStickySnapshot; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1778 CompleteHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1922 ReloadAllHostedStickyRuntime; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1942 ConfirmHostedStickyDelete; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1966 ShowHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1991 ReloadImportedStickyRuntime; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2041 TryRestoreHostedDockComponent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2262 CompleteHostedDockRestorePlacement; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2413 CompleteHostedDockRestoreSuccess; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2442 FailHostedDockRestore; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2588 ReorderStickyNoteTab; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2596 CollapseAllStickyNotes; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2620 ExpandAllStickyNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2777 IsStripCoveredByVisibleSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2888 ShowStickyNotesManager; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:39 CloseStickyDockNote; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:115 TryApplyDockFactsBarrier; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:188 CaptureDockInteractionBaseline; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:246 BeginStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:332 MoveStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:506 PlanToDockTargets; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:524 CompleteStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:777 CaptureDockFacts; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:846 BuildDockChainOrderIncludingHidden; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:852 BuildDockChainOrder; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:930 ApplyDockTarget; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:987 CanSafelyCombineDockComponents; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1059 NormalizeAllDockGroups; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1077 BeginHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1107 ResizeHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1211 ResizeStickyDockGroup; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1246 RefreshDockResizeRoles; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1296 RestoreDockOriginalLocations; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1337 BuildDockComponent; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1368 FindActiveDockTail; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1417 UpdateDockPreview; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1464 FindDockTarget; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1512 CanUseDockComponents; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1531 FindDockChild; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1571 DetachDockRelations; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1595 HideStickyNote; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1649 BeginHostedStickyDelete; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1686 DeleteStickyNoteAfterWindowClosed; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetReminderWindowsCoordinator.cs:45 UpdateAllStickyNoteReminderBanners; desktop-pet/PetReminderWindowsCoordinator.cs:66 ReconcileNoteReminders; desktop-pet/PetReminderWindowsCoordinator.cs:87 EditReminder; desktop-pet/PetReminderWindowsCoordinator.cs:133 CancelReminderForNote; desktop-pet/PetReminderWindowsCoordinator.cs:305 ClearLinkedNoteReminder; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:28 RetryUnsavedPersistence; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:44 FlushPersistenceBeforeExit; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:92 ExportUnsavedStickyNotes; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:111 ExportStickyNotesBackup; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:137 PrepareStickyNotesImport; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:185 CommitStickyNotesImport; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:277 BeginFullStickyRestore; desktop-pet/PetMenuActions.cs:20 RefreshMenuText; desktop-pet/PetStartupCoordinator.cs:26 DeferredStartupTick; desktop-pet/PetStartupCoordinator.cs:125 BuildStartupRestoreQueue","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:270 RollBackFailedStickyCreation; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1686 DeleteStickyNoteAfterWindowClosed; desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StickyFeatureController (repository remains data owner)","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_leftNoteTabs","desktop-pet/PetForm.cs:72","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:172 PetWindowLayerChanged","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder; desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_rightNoteTabs","desktop-pet/PetForm.cs:73","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:172 PetWindowLayerChanged","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder; desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"HostedStickyWindowCreatedCount","desktop-pet/PetForm.cs:74","F Hosted protocol","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:979 StartHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:979 StartHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StickyFeatureController / existing hosted owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_random","desktop-pet/PetForm.cs:75","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_keyboardQueueGate","desktop-pet/PetForm.cs:76","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","","Hook / Pet STA, lock _keyboardQueueGate","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_artPreloads","desktop-pet/PetForm.cs:77","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:471 ReserveArtPreload; desktop-pet/PetAnimationRuntime.cs:478 CompleteArtPreload","desktop-pet/PetAnimationRuntime.cs:478 CompleteArtPreload","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_animation","desktop-pet/PetForm.cs:79","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_stickyUiHost","desktop-pet/PetForm.cs:81","F Hosted protocol","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:479 InvalidateDockPlansForTopologyChange; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1124 PostHostedStickyCommand; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1857 TryCloseAllHostedStickies; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:246 BeginStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:579 StartDockFinalization; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:635 ResetDockDragState; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:691 ApplyLiveDockPlan; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:657 DisplayTopologyChanged; desktop-pet/PetForm.cs:701 OnFormClosed","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:479 InvalidateDockPlansForTopologyChange; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1857 TryCloseAllHostedStickies; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:246 BeginStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:579 StartDockFinalization; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:635 ResetDockDragState; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:657 DisplayTopologyChanged; desktop-pet/PetForm.cs:701 OnFormClosed","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StickyFeatureController / existing hosted owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_petUiContext","desktop-pet/PetForm.cs:82","F Hosted protocol","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1124 PostHostedStickyCommand; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:579 StartDockFinalization; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:691 ApplyLiveDockPlan; desktop-pet/PetForm.cs:195 PetForm","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StickyFeatureController / existing hosted owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_hostedRuntime","desktop-pet/PetForm.cs:83","F Hosted protocol","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:781 TryApplyDockTopologyResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:979 StartHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1037 IsHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1365 ApplyHostedStickyEvent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1433 ApplyReprojectResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1564 CompleteDockDurableCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1610 TryPrepareDockCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1740 ApplyHostedStickySnapshot; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1778 CompleteHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1846 BeginHostedStickyExitIfNeeded; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1857 TryCloseAllHostedStickies; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1888 CloseHostedStickyRuntimeForReload; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2187 PrepareHostedDockRestoreSessions; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2442 FailHostedDockRestore; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:115 TryApplyDockFactsBarrier; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1649 BeginHostedStickyDelete; desktop-pet/PetForm.cs:692 OnFormClosing; desktop-pet/PetReminderWindowsCoordinator.cs:45 UpdateAllStickyNoteReminderBanners; desktop-pet/PetReminderWindowsCoordinator.cs:87 EditReminder; desktop-pet/PetMenuActions.cs:250 HasFocusedOwnNoteTextInput","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:781 TryApplyDockTopologyResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:979 StartHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1365 ApplyHostedStickyEvent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1433 ApplyReprojectResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1564 CompleteDockDurableCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1740 ApplyHostedStickySnapshot; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1778 CompleteHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1846 BeginHostedStickyExitIfNeeded; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1857 TryCloseAllHostedStickies; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1888 CloseHostedStickyRuntimeForReload; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2187 PrepareHostedDockRestoreSessions; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2442 FailHostedDockRestore; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:115 TryApplyDockFactsBarrier; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1649 BeginHostedStickyDelete; desktop-pet/PetForm.cs:692 OnFormClosing","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StickyFeatureController / existing hosted owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_placementRuntime","desktop-pet/PetForm.cs:85","D Display","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:142 CommitExpandedPreferred; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:583 ReconcileDockGroup; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:686 PostDockGroupTopologyReproject; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:781 TryApplyDockTopologyResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:851 ReconcileStandaloneSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:954 CompleteTemporaryRehome; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1042 PostHostedStickyShow; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1365 ApplyHostedStickyEvent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1433 ApplyReprojectResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1564 CompleteDockDurableCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2348 CompleteHostedDockRestoreReproject; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:115 TryApplyDockFactsBarrier; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:188 CaptureDockInteractionBaseline; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:142 CommitExpandedPreferred; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:686 PostDockGroupTopologyReproject; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:781 TryApplyDockTopologyResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:954 CompleteTemporaryRehome; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1042 PostHostedStickyShow; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1365 ApplyHostedStickyEvent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1433 ApplyReprojectResult; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1564 CompleteDockDurableCommit; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2348 CompleteHostedDockRestoreReproject; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:115 TryApplyDockFactsBarrier; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing StickyPlacementRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_expectedFirstRenderNoteIds","desktop-pet/PetForm.cs:87","C Startup","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/PetStartupCoordinator.cs:125 BuildStartupRestoreQueue; desktop-pet/PetStartupCoordinator.cs:147 AllExpectedNotesHaveFirstRendered","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/PetStartupCoordinator.cs:125 BuildStartupRestoreQueue","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StartupRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_renderedFirstRenderNoteIds","desktop-pet/PetForm.cs:89","C Startup","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/PetStartupCoordinator.cs:125 BuildStartupRestoreQueue; desktop-pet/PetStartupCoordinator.cs:147 AllExpectedNotesHaveFirstRendered; desktop-pet/PetStartupCoordinator.cs:154 MarkFirstRendered","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1812 HandleHostedStickyFailure; desktop-pet/PetStartupCoordinator.cs:125 BuildStartupRestoreQueue; desktop-pet/PetStartupCoordinator.cs:154 MarkFirstRendered","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","StartupRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_art","desktop-pet/PetForm.cs:92","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:616 ApplyCurrentDisplayScale; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:114 RuntimeFrameCount; desktop-pet/PetAnimationRuntime.cs:119 RuntimeFrameDuration; desktop-pet/PetAnimationRuntime.cs:132 RuntimeAnimationCycleDuration; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload; desktop-pet/PetAnimationRuntime.cs:455 QueueArtPreload; desktop-pet/PetAnimationRuntime.cs:471 ReserveArtPreload; desktop-pet/PetAnimationRuntime.cs:478 CompleteArtPreload; desktop-pet/PetAnimationRuntime.cs:517 EnsureRenderedRow; desktop-pet/PetReminderWindowsCoordinator.cs:256 RequestReminderAttentionAnimation; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
